26001,Alcona,44.682535,-82.83408
26003,Alger,47.080077,-86.564108
26005,Allegan,42.595788,-86.634745
26007,Alpena,44.894954,-83.426574
26009,Antrim,45.005457,-85.175625
26011,Arenac,44.03687,-83.740675
26013,Baraga,46.696068,-88.356022
26015,Barry,42.582811,-85.31455
26017,Bay,43.699711,-83.978701
26019,Benzie,44.648621,-86.494317
26021,Berrien,41.792639,-86.741822
26023,Branch,41.918585,-85.066523
26025,Calhoun,42.24299,-85.012385
26027,Cass,41.91624,-85.999457
26029,Charlevoix,45.513164,-85.450392
26031,Cheboygan,45.47612,-84.495271
26033,Chippewa,46.321819,-84.52063
26035,Clare,43.991137,-84.838325
26037,Clinton,42.950455,-84.591695
26039,Crawford,44.680208,-84.611132
26041,Delta,45.805101,-86.901373
26043,Dickinson,46.012823,-87.866119
26045,Eaton,42.589614,-84.846524
26047,Emmet,45.590094,-84.986822
26049,Genesee,43.021077,-83.706372
26051,Gladwin,43.98975,-84.389816
26053,Gogebic,46.488054,-89.788314
26055,Grand Traverse,44.718688,-85.553848
26057,Gratiot,43.292326,-84.60469
26059,Hillsdale,41.864475,-84.642409
26061,Houghton,46.998305,-88.652066
26063,Huron,43.907616,-82.857045
26065,Ingham,42.603534,-84.373811
26067,Ionia,42.94465,-85.073766
26069,Iosco,44.329482,-82.849447
26071,Iron,46.170249,-88.540409
26073,Isabella,43.645233,-84.839425
26075,Jackson,42.248474,-84.420868
26077,Kalamazoo,42.246266,-85.532854
26079,Kalkaska,44.678881,-85.088992
26081,Kent,43.032497,-85.547446
26083,Keweenaw,47.681981,-88.148802
26085,Lake,43.995187,-85.8114
26087,Lapeer,43.088633,-83.224325
26089,Leelanau,45.146182,-86.051574
26091,Lenawee,41.895915,-84.066853
26093,Livingston,42.602532,-83.911718
26095,Luce,46.940602,-85.582368
26097,Mackinac,46.167981,-85.303756
26099,Macomb,42.671467,-82.910869
26101,Manistee,44.350385,-86.602967
26103,Marquette,46.656597,-87.584028
26105,Mason,43.996636,-86.750814
26107,Mecosta,43.635295,-85.332751
26109,Menominee,45.544174,-87.509892
26111,Midland,43.648378,-84.37922
26113,Missaukee,44.325424,-85.085471
26115,Monroe,41.916097,-83.487106
26117,Montcalm,43.312782,-85.149468
26119,Montmorency,45.024134,-84.130107
26121,Muskegon,43.289258,-86.751892
26123,Newaygo,43.562709,-85.791423
26125,Oakland,42.660452,-83.38421
26127,Oceana,43.647255,-86.807575
26129,Ogemaw,44.33328,-84.128073
26131,Ontonagon,47.216604,-89.500461
26133,Osceola,43.997552,-85.322283
26135,Oscoda,44.685121,-84.124894
26137,Otsego,45.021794,-84.576597
26139,Ottawa,42.942346,-86.655342
26141,Presque Isle,45.489515,-83.384019
26143,Roscommon,44.339517,-84.611272
26145,Saginaw,43.328267,-84.05541
26147,St. Clair,42.928804,-82.668914
26149,St. Joseph,41.911488,-85.52287
26151,Sanilac,43.449155,-82.642815
26153,Schoolcraft,46.020758,-86.199352
26155,Shiawassee,42.951545,-84.146352
26157,Tuscola,43.487902,-83.436618
26159,Van Buren,42.283986,-86.305697
26161,Washtenaw,42.252327,-83.844634
26163,Wayne,42.284664,-83.261953
26165,Wexford,44.331375,-85.570046
